180
-1.0 +1.0 -1.0 +0.00 +1.00
-1.0 -1.0 -1.0 +0.00 +0.50
+1.0 -1.0 -1.0 +0.33 +0.50
-1.0 +1.0 -1.0 +0.00 +1.00
+1.0 +1.0 -1.0	+0.33 +1.00
+1.0 -1.0 -1.0	+0.33 +0.50
-1.0 +1.0 +1.0 +0.33 +1.00
-1.0 -1.0 +1.0 +0.33 +0.50
+1.0 -1.0 +1.0 +0.66 +0.50
-1.0 +1.0 +1.0 +0.33 +1.00
+1.0 +1.0 +1.0 +0.66 +1.00
+1.0 -1.0 +1.0 +0.66 +0.50
-1.0 +1.0 -1.0 +0.66 +0.50
+1.0 +1.0 -1.0 +1.00 +0.50
-1.0 +1.0 +1.0 +0.66 +1.00
+1.0 +1.0 -1.0 +1.00 +0.50
+1.0 +1.0 +1.0 +1.00 +1.00
-1.0 +1.0 +1.0 +0.66 +1.00
-1.0 -1.0 -1.0 +0.00 +0.00
+1.0 -1.0 -1.0 +0.33 +0.00
-1.0 -1.0 +1.0 +0.00 +0.50
+1.0 -1.0 -1.0 +0.33 +0.00
+1.0 -1.0 +1.0 +0.33 +0.50
-1.0 -1.0 +1.0 +0.00 +0.50
-1.0 -1.0 -1.0 +0.66 +0.00
-1.0 +1.0 -1.0 +0.66 +0.50
-1.0 -1.0 +1.0 +0.33 +0.00
-1.0 +1.0 -1.0 +0.66 +0.50
-1.0 +1.0 +1.0 +0.33 +0.50
-1.0 -1.0 +1.0 +0.33 +0.00
+1.0 -1.0 -1.0 +1.00 +0.00
+1.0 +1.0 -1.0 +1.00 +0.50
+1.0 -1.0 +1.0 +0.66 +0.00
+1.0 +1.0 -1.0 +1.00 +0.50
+1.0 +1.0 +1.0 +0.66 +0.50
+1.0 -1.0 +1.0 +0.66 +0.00
